bullet;7.092592592592593;projectile,dumdum,full_metal_jacket,rifle_ball,rubber_bullet
song;12.363636363636363;musical_composition,anthem,aria,ballad,barcarole,dirge,ditty,drinking_song,folk_song,lied,love_song,lullaby,oldie,partsong,prothalamion,religious_song,roundelay,scolion,serenade,torch_song,work_song
cry;7.824561403508772;utterance,bellow,blue_murder,boo,catcall,clamor,halloo,hoot,hosanna,noise,scream,war_cry,whoop,yelling,yodel
laugh;5.0701754385964914;utterance,cachinnation,cackle,chortle,giggle,guffaw,hee-haw,snicker,titter
lamp;4.821428571428571;source_of_illumination,aladdin,candle,discharge_lamp,electric_lamp,flash,fluorescent_lamp,gas_lamp,hurricane_lamp,lantern,limelight,neon_lamp,oil_lamp,sodium-vapor_lamp,spirit_lamp,spotlight,streetlight,taillight
slogan;10.975609756097562;saying,catchphrase,mantra,war_cry
power;8.641509433962264;quality,control,disposal,effectiveness,free_will,influence,interest,irresistibility,legal_power,persuasiveness,potency,preponderance,puissance,repellent,stranglehold,sway,valence,valence,veto
woman;5.859649122807017;adult,female,amazon,b-girl,bachelor_girl,baggage,ball-buster,black_woman,bluestocking,bridesmaid,broad,cat,cinderella,coquette,dame,debutante,divorcee,dominatrix,donna,enchantress,ex-wife,eyeful,geisha,girl,girl,girlfriend,girlfriend,gold_digger,gravida,heroine,inamorata,jezebel,jilt,lady,maenad,maenad,matriarch,matriarch,matron,mestiza,mistress,mother_figure,nanny,nullipara,nymph,nymphet,old_woman,prostitute,shiksa,smasher,sylph,unmarried_woman,vestal,wac,wave,white_woman,widow,wife,wonder_woman,yellow_woman
milk;4.140350877192983;beverage,dairy_product,acidophilus_milk,buttermilk,certified_milk,chocolate_milk,condensed_milk,cows,evaporated_milk,goats,homogenized_milk,low-fat_milk,pasteurized_milk,powdered_milk,raw_milk,scalded_milk,semi-skimmed_milk,skim_milk,sour_milk,whole_milk,yak
human;4.767857142857143;hominid,homo_erectus,homo_habilis,homo_sapiens,homo_soloensis,neandertal_man,rhodesian_man,world
minor;13.372093023255815;juvenile,bairn,buster,changeling,child_prodigy,foster-child,imp,kiddy,orphan,peanut,pickaninny,poster_child,preschooler,silly,sprog,toddler,urchin,waif
oxide;13.5;compound,calcium_oxide,copper_oxide,dioxide,ferric_oxide,monoxide,nitrogen_oxide,pentoxide,peroxide,red_lead,silica,sulfur_oxide,superoxide,tetroxide,titanium_dioxide,trioxide,zinc_oxide,zirconium_oxide
paper;13.36;material,art_paper,blotting_paper,blueprint_paper,carbon_paper,card,cardboard,cartridge_paper,chad,computer_paper,confetti,construction_paper,crepe,drawing_paper,filter_paper,flypaper,graph_paper,greaseproof_paper,india_paper,linen,litmus_paper,manifold_paper,manila,music_paper,newspaper,oilpaper,pad,paper_tape,paper_toweling,papier-mache,papyrus,parchment,rice_paper,roofing_paper,sheet,ticker_tape,tissue,tracing_paper,transfer_paper,wallpaper,waste_paper,wax_paper,wrapping_paper,writing_paper
father;7.403225806451613;parent,dad,father-in-law,old_man,pater
pear;4.919354838709677;edible_fruit,pome,anjou,bartlett,bosc,seckel
pizza;7.321428571428571;dish,anchovy_pizza,cheese_pizza,pepperoni_pizza,sausage_pizza,sicilian_pizza
plague;8.157894736842104;epidemic_disease,bubonic_plague,pneumonic_plague,septicemic_plague
price;6.264150943396227;value,assessment,average_cost,expensiveness,inexpensiveness,marginal_cost
prince;4.56;aristocrat,archduke,crown_prince,dauphin,elector,grand_duke,maharaja,prince_consort,prince_of_wales,princeling,princeling
ball;8.407407407407407;game_equipment,baseball,basketball,billiard_ball,bocce_ball,bowl,bowling_ball,cricket_ball,croquet_ball,field_hockey_ball,football,golf_ball,handball,jack,lacrosse_ball,marble,medicine_ball,ninepin_ball,ping-pong_ball,polo_ball,pool_ball,punching_bag,racquetball,roulette_ball,rugby_ball,soccer_ball,softball,squash_ball,tennis_ball,volleyball,wiffle
prose;12.84;writing_style,euphuism,interior_monologue,nonfiction,polyphonic_prose,prose_poem,stream_of_consciousness
window;4.0;framework,bay_window,casement_window,clerestory,display_window,dormer,dormer_window,double-hung_window,double_glazing,fanlight,lancet_window,louvered_window,oeil_de_boeuf,picture_window,pivoting_window,porthole,rose_window,sash_window,skylight,sliding_window,stained-glass_window,storm_window,transom
range;12.547619047619047;extent,approximate_range,confines,contrast,gamut,horizon,internationality,latitude,palette,spectrum,sweep
reason;13.767857142857142;rational_motive,occasion,score,why
orator;14.2;speaker,elocutionist,eulogist,haranguer,spellbinder,tub-thumper
rite;12.552631578947368;religious_ceremony,circumcision,last_rites,liturgy,office,orgy,vigil
novel;10.38888888888889;fiction,detective_novel,dime_novel,novelette,roman_a_clef,roman_fleuve,romance
cattle;7.351851851851852;bovine,africander,beef,bull,bullock,cow,dairy_cattle,devon,grade,ox,red_poll,stirk,welsh
caterpillar;5.357142857142857;larva,armyworm,beet_armyworm,bollworm,cabbageworm,cankerworm,corn_borer,cutworm,fall_armyworm,lappet_caterpillar,measuring_worm,potato_tuberworm,silkworm,silkworm,tent_caterpillar,tobacco_hornworm,tomato_hornworm,tussock_caterpillar,webworm,woolly_bear
ship;5.87037037037037;vessel,abandoned_ship,blockade-runner,cargo_ship,flagship,gas-turbine_ship,hospital_ship,hulk,icebreaker,lightship,minelayer,minesweeper,nuclear-powered_ship,passenger_ship,pirate,school_ship,shipwreck,sister_ship,slave_ship,small_ship,steamer,tender,three-decker,transport_ship,treasure_ship,troopship,warship,whaler,wreck
sect;11.981481481481481;religion,abecedarian,albigenses,amish_sect,brethren,hare_krishna,haredi,high_church,jainism,karaites,kokka_shinto,order,religious_society_of_friends,shakers,shaktism,shiah,shivaism,shuha_shinto,sisterhood,sunni,taoism,vaishnavism,waldenses,zurvanism
tobacco;14.051282051282051;drug_of_abuse,plant_product,filler,roll_of_tobacco,shag,smoking_mixture,snuff,turkish_tobacco
scarf;5.796296296296297;garment,feather_boa,fichu,kerchief,lambrequin,mantilla,muffler,patka,rebozo,sable,stole,tudung
slave;7.87037037037037;person,bond_servant,bondman,bondwoman,creature,galley_slave
snail;5.357142857142857;gastropod,edible_snail,garden_snail,scorpion_shell
snake;6.4;diapsid,blind_snake,colubrid_snake,constrictor,elapid,sea_snake,viper
defamation;12.285714285714286;disparagement,character_assassination,libel,name,name_calling,slander,smear
fog;10.435483870967742;aerosol,fogbank,ice_fog,mist,pea_soup
snack;10.12962962962963;meal,coffee_break,nosh,refreshment
snap;9.148936170212766;touch,fair_catch,interception,mesh,rebound,reception,shoestring_catch
soup;4.160714285714286;dish,alphabet_soup,bisque,borsch,broth,broth,chicken_soup,chowder,cock-a-leekie,consomme,eggdrop_soup,gazpacho,green_pea_soup,gumbo,julienne,lentil_soup,marmite,mock_turtle_soup,mulligatawny,oxtail_soup,pea_soup,pepper_pot,petite_marmite,potage,scotch_broth,soup_du_jour,split-pea_soup,turtle_soup,vichyssoise,won_ton
bacon;7.314814814814815;cut_of_pork,bacon_strip,canadian_bacon,flitch,gammon
game;4.214285714285714;activity,athletic_game,bowling,card_game,child,curling,game_of_chance,pall-mall,parlor_game,table_game,zero-sum_game
muscle;6.885245901639344;contractile_organ,antagonistic_muscle,levator,ocular_muscle,pronator,rectus,skeletal_muscle,smooth_muscle,sphincter,supinator,tensor
food;8.370967741935484;substance,beverage,chyme,comestible,comfort_food,commissariat,culture_medium,fare,feed,foodstuff,micronutrient,miraculous_food,nutriment,soul_food,water,yolk
spider;5.314814814814815;arachnid,barn_spider,black_and_gold_garden_spider,black_widow,comb-footed_spider,garden_spider,orb-weaving_spider,tarantula,trap-door_spider,wolf_spider
sport;5.892857142857143;diversion,archery,athletic_game,blood_sport,contact_sport,cycling,funambulism,gymnastics,judo,outdoor_sport,racing,riding,rock_climbing,rowing,skating,skiing,sledding,spectator_sport,team_sport,track_and_field,water_sport
town;5.615384615384615;municipality,boom_town,burg,cow_town,ghost_town,hometown,main_street,market_town
start;5.131147540983607;beginning,adrenarche,alpha,dawn,flying_start,kickoff,menarche,onset,opener,opening,racing_start,thelarche
stone;4.6415094339622645;natural_object,achondrite,bedrock,boulder,calculus,chondrite,clastic_rock,crystal,intrusion,outcrop,pebble,petrifaction,sill,stepping_stone,tor,wall_rock,whinstone,xenolith
star;5.555555555555555;celestial_body,binary_star,fixed_star,giant_star,lodestar,multiple_star,neutron_star,nova,red_dwarf,red_giant,sun,supergiant,supernova,variable_star,white_dwarf
stick;11.11320754716981;implement,bow,club,divining_rod,drumstick,linstock,matchstick,maulstick,singlestick,spindle,staff,stob,swizzle_stick,walking_stick
